time,precip1,precip2,precip3,Precip4
2012-06-01,1.939534,3.343792,2.926153,2.56304
2012-07-01,1.829608,2.110633,2.559546,2.680593
2012-08-01,0.9402083,0.6379234,1.686184,2.468293
2012-09-01,0.1570381,0.08327901,0.2838521,1.097476
2012-10-01,0.08491109,0.193406,0.5211328,1.090261
2012-11-01,0.0361898,0.008764587,0.1276343,0.370645
2012-12-01,0.09232038,0.08717883,0.2937636,0.1544391
2013-01-01,1.274868,0.9314523,1.041979,0.6327585
2013-02-01,2.029199,1.087601,0.4033022,0.2833031
2013-03-01,1.361791,1.094559,0.9038243,0.794111
2013-04-01,4.499531,4.106771,3.722746,2.918504
2013-05-01,4.633959,2.608551,2.916264,2.842973
2013-06-01,3.257922,5.071853,3.98189,3.570613
2013-07-01,3.584545,5.065833,6.721964,4.085532
2013-08-01,0.8324839,2.480552,2.392721,3.564471
2013-09-01,0.3525972,1.753908,1.574798,1.879555
2013-10-01,0.1272273,0.3898941,2.320612,3.589543
2013-11-01,0.314014,1.001863,1.301697,3.521041
2013-12-01,0.275429,1.441364,2.790872,1.913646
2014-01-01,1.49141,0.7512823,0.7509059,0.5296021
2014-02-01,2.159881,2.159079,2.487217,2.065277
2014-03-01,4.235615,5.056826,2.319054,1.772864
2014-04-01,4.389604,4.655426,4.50938,4.355772
2014-05-01,5.615465,3.686631,5.092932,4.127358
2014-06-01,3.737132,3.145549,2.684997,3.519032
2014-07-01,1.690547,2.010705,3.693075,4.970778
2014-08-01,0.5086668,0.32623,2.584548,2.546551
2014-09-01,0.3231638,2.275321,2.86916,2.433857
2014-10-01,0.4599298,0.8378615,3.209854,2.390258
2014-11-01,0.1404294,0.4171056,1.38657,2.803871
2014-12-01,0.146546,0.4195414,0.975758,1.880874
2015-01-01,0.6147001,0.408124,0.6745999,0.7695253
2015-02-01,2.23421,2.732217,2.106866,1.621478
2015-03-01,6.826877,5.446476,2.350693,1.373327
2015-04-01,5.56112,2.654469,0.9144241,2.180485
2015-05-01,1.83259,0.6761599,2.032029,6.181748
2015-06-01,1.416917,2.968422,5.212724,5.253738
